id,code,url,portuguese_name,name,cientific_name,group,brand
1,BRC0001C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=QagWPGGLCefQ%2BGqdjKbs2w%3D%3D,"Abacate, polpa, in natura, Brasil","Abacate, polpa, in natura, Brasil",Persea americana Mill,Frutas e derivados,
2,BRC0195C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=km%2FIA0SDyRfAZKBmCvKaeA%3D%3D,"Abacaxi, cozido, caramelizado, Brasil","Abacaxi, cozido, caramelizado, Brasil",,Frutas e derivados,
3,BRC0300C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=yYmpnZ5nMjVlnC0Lek1TMA%3D%3D,"Abacaxi, grelhado, c/ cobertura de chocolate ao leite, Brasil","Abacaxi, grelhado, c/ cobertura de chocolate ao leite, Brasil",,Frutas e derivados,
4,BRC0054C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=%2BxMzBaSgDxmReRynhjIoHg%3D%3D,"Abacaxi, polpa, congelada, Brasil","Abacaxi, polpa, congelada, Brasil",Ananas comosus L.,Frutas e derivados,
5,BRC0264C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YCNl1YF7AgYTBCzYTuKkLQ%3D%3D,"Abacaxi, polpa, desidratada, Brasil","Abacaxi, polpa, desidratada, Brasil",Ananas comosus,Frutas e derivados,
6,BRC0218C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=2VgAJkit840mkxVQBS4GIQ%3D%3D,"Abacaxi, polpa, grelhado,  s/ açúcar, c/ canela, Brasil","Abacaxi, polpa, grelhado,  s/ açúcar, c/ canela, Brasil",,Frutas e derivados,
7,BRC0002C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=lK2EzSMttYkJXEBRRJ2pGA%3D%3D,"Abacaxi, polpa, in natura, Brasil","Abacaxi, polpa, in natura, Brasil",Ananas comosus L.,Frutas e derivados,
8,BRC0069C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4amVDrBo4B57%2BVYEOPVnRA%3D%3D,"Abiu, in natura, Brasil","Abiu, in natura, Brasil",Lucuma caimito (Ruiz & Pav.) Roem & Schult,Frutas e derivados,
9,BRC0680B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Dd67z8unllxq3TkbQUdTFg%3D%3D,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal","Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal",,Vegetais e derivados,
10,BRC0059B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9DquReG8qik3iGFJw%2FBgDA%3D%3D,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil","Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",Cucurbita maxima x Cucurbita moschata,Vegetais e derivados,
11,BRC0002B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=B47Gq5LLTd69nLYrvcdtwQ%3D%3D,"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil","Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil",Cucurbita maxima x Cucurbita moschata,Vegetais e derivados,
12,BRC0003B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=HEZauCF6J2H5y1Q5XsOHhA%3D%3D,"Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil","Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil",Cucurbita moschata,Vegetais e derivados,
13,BRC0151B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=75tgzCd1cWWqya0fQhcK0Q%3D%3D,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal","Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",,Vegetais e derivados,
14,BRC0101B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4ZrWRAvZVyY46UinTyoVEg%3D%3D,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal","Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal",Cucurbita maxima,Vegetais e derivados,
15,BRC0270B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=z1HuD7Z91Syldg2ggkEolw%3D%3D,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal","Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal",Curcubita spp.,Vegetais e derivados,
