id,food_code,description,weight_g
1,BRC0001C,Colher sopa cheia,45.00
2,BRC0001C,Copo americano duplo,200.00
3,BRC0001C,Copo americano pequeno,130.00
4,BRC0001C,Pedaço/ Unidade/ Fatia (M),370.00
5,BRC0001C,Prato fundo,450.00
6,BRC0001C,Prato raso,350.00
7,BRC0195C,Pedaço/ Unidade/ Fatia (M),80.00
8,BRC0300C,Porção média,80.00
9,BRC0054C,Pedaço/ Unidade/ Fatia (M),100.00
10,BRC0264C,Porção média,30.00
11,BRC0218C,Fatia média,70.00
12,BRC0002C,Pedaço/ Unidade/ Fatia (M),75.00
13,BRC0069C,Pedaço/ Unidade/ Fatia (M),20.00
14,BRC0069C,Porção média,60.00
15,BRC0680B,Porção média,90.00
16,BRC0059B,Colher sopa cheia,36.00
17,BRC0059B,Colher sopa rasa,16.00
18,BRC0059B,Escumadeira cheia,100.00
19,BRC0059B,Escumadeira rasa,70.00
20,BRC0002B,Colher sopa cheia,28.00
21,BRC0002B,Colher sopa rasa,18.00
22,BRC0003B,Colher sopa cheia,28.00
23,BRC0003B,Colher sopa rasa,18.00
24,BRC0151B,Colher sopa cheia,30.00
25,BRC0151B,Colher sopa rasa,20.00
26,BRC0151B,Escumadeira cheia,105.00
27,BRC0151B,Escumadeira rasa,70.00
28,BRC0101B,Colher sopa cheia,30.00
29,BRC0101B,Colher sopa rasa,20.00
30,BRC0101B,Escumadeira cheia,105.00
31,BRC0101B,Escumadeira rasa,70.00
32,BRC0270B,Colher sopa cheia,36.00
33,BRC0270B,Colher sopa rasa,16.00
34,BRC0270B,Escumadeira cheia,100.00
35,BRC0270B,Escumadeira rasa,70.00
36,BRC0269B,Colher sopa cheia,36.00
37,BRC0269B,Colher sopa rasa,16.00
38,BRC0269B,Escumadeira cheia,100.00
39,BRC0269B,Escumadeira rasa,70.00
40,BRC0355B,Colher sopa cheia,30.00
41,BRC0355B,Colher sopa rasa,20.00
42,BRC0355B,Escumadeira cheia,105.00
43,BRC0355B,Escumadeira rasa,70.00
44,BRC0354B,Colher sobremesa rasa,20.00
45,BRC0354B,Colher sopa cheia,30.00
46,BRC0354B,Escumadeira cheia,105.00
47,BRC0354B,Escumadeira rasa,70.00
48,BRC0226B,Colher sopa cheia,36.00
49,BRC0226B,Colher sopa rasa,16.00
50,BRC0226B,Escumadeira cheia,100.00
51,BRC0226B,Escumadeira rasa,70.00
52,BRC0226B,Pedaço/ Unidade/ Fatia (M),50.00
53,BRC0225B,Colher sopa cheia,36.00
54,BRC0225B,Colher sopa rasa,16.00
55,BRC0225B,Escumadeira cheia,100.00
56,BRC0225B,Escumadeira rasa,70.00
57,BRC0225B,Pedaço/ Unidade/ Fatia (M),50.00
58,BRC0166B,Colher sopa cheia,36.00
59,BRC0166B,Colher sopa rasa,16.00
60,BRC0166B,Escumadeira cheia,100.00
61,BRC0166B,Escumadeira rasa,70.00
62,BRC0166B,Pedaço/ Unidade/ Fatia (M),50.00
63,BRC0165B,Colher sopa cheia,36.00
64,BRC0165B,Colher sopa rasa,16.00
65,BRC0165B,Escumadeira cheia,100.00
66,BRC0165B,Escumadeira rasa,70.00
67,BRC0165B,Pedaço/ Unidade/ Fatia (M),50.00
68,BRC0004B,Colher sopa cheia,28.00
69,BRC0004B,Colher sopa rasa,18.00
70,BRC0064B,Colher sopa cheia,36.00
71,BRC0064B,Colher sopa rasa,16.00
72,BRC0064B,Escumadeira cheia,100.00
73,BRC0064B,Escumadeira rasa,70.00
74,BRC0228B,Colher sopa cheia,36.00
75,BRC0228B,Colher sopa rasa,16.00
76,BRC0228B,Escumadeira cheia,100.00
77,BRC0228B,Escumadeira rasa,70.00
78,BRC0228B,Pedaço/ Unidade/ Fatia (M),50.00
79,BRC0227B,Colher sopa cheia,36.00
80,BRC0227B,Colher sopa rasa,16.00
81,BRC0227B,Escumadeira cheia,100.00
82,BRC0227B,Escumadeira rasa,70.00
83,BRC0227B,Pedaço/ Unidade/ Fatia (M),50.00
84,BRC0005B,Colher sopa cheia,28.00
85,BRC0005B,Colher sopa rasa,18.00
86,BRC0001B,Colher sopa cheia,28.00
87,BRC0001B,Colher sopa rasa,18.00
88,BRC0725B,Porção média,120.00
89,BRC0266B,Pedaço/ Unidade/ Fatia (M),25.00
90,BRC0265B,Pedaço/ Unidade/ Fatia (M),25.00
91,BRC0232B,Pedaço/ Unidade/ Fatia (M),25.00
92,BRC0231B,Pedaço/ Unidade/ Fatia (M),25.00
93,BRC0152B,Pedaço/ Unidade/ Fatia (M),25.00
94,BRC0040B,Colher servir cheia,70.00
95,BRC0040B,Colher servir rasa,35.00
96,BRC0040B,Colher sopa cheia,30.00
97,BRC0040B,Colher sopa rasa,20.00
98,BRC0040B,Escumadeira cheia,90.00
99,BRC0040B,Escumadeira rasa,40.00
100,BRC0006B,Colher sopa cheia,16.00
101,BRC0006B,Colher sopa rasa,11.00
102,BRC0264B,Colher servir cheia,50.00
103,BRC0264B,Colher servir rasa,35.00
104,BRC0264B,Colher sopa cheia,30.00
105,BRC0264B,Colher sopa rasa,20.00
106,BRC0264B,Escumadeira cheia,70.00
107,BRC0264B,Escumadeira rasa,35.00
108,BRC0263B,Colher servir cheia,70.00
109,BRC0263B,Colher servir rasa,35.00
110,BRC0263B,Colher sopa cheia,30.00
111,BRC0263B,Colher sopa rasa,20.00
112,BRC0263B,Escumadeira cheia,70.00
113,BRC0263B,Escumadeira rasa,35.00
114,BRC0153B,Colher servir cheia,70.00
115,BRC0153B,Colher servir rasa,35.00
116,BRC0153B,Colher sopa cheia,30.00
117,BRC0153B,Colher sopa rasa,20.00
118,BRC0153B,Escumadeira cheia,70.00
119,BRC0153B,Escumadeira rasa,35.00
120,BRC0104B,Colher servir cheia,70.00
121,BRC0104B,Colher servir rasa,35.00
122,BRC0104B,Colher sopa cheia,30.00
123,BRC0104B,Colher sopa rasa,20.00
124,BRC0104B,Escumadeira cheia,90.00
125,BRC0104B,Escumadeira rasa,40.00
126,BRC0800B,Colher café cheia,4.00
127,BRC0800B,Colher café rasa,1.00
128,BRC0003C,Pedaço/ Unidade/ Fatia (M),200.00
129,BRC0185C,Porção média,200.00
130,BRC0201C,Pedaço/ Unidade/ Fatia (M),200.00
131,BRC0177C,Pedaço/ Unidade/ Fatia (M),200.00
132,BRC0095C,Copo americano duplo,240.00
133,BRC0095C,Copo americano pequeno,165.00
134,BRC0203T,Pedaço/ Unidade/ Fatia (M),80.00
135,BRC0061T,Pedaço/ Unidade/ Fatia (M),80.00
136,BRC0212B,Colher sopa cheia,25.00
137,BRC0211B,Colher sopa cheia,25.00
138,BRC0007B,Colher servir cheia,10.00
139,BRC0007B,Colher sopa cheia,6.00
140,BRC0202B,Colher sopa cheia,25.00
141,BRC0201B,Colher sopa cheia,25.00
142,BRC0004C,Pedaço/ Unidade/ Fatia (M),36.00
143,BRC0001K,Colher café cheia,2.00
144,BRC0001K,Colher chá cheia,4.00
145,BRC0001K,Colher chá rasa,2.00
146,BRC0001K,Colher sobremesa cheia,10.00
147,BRC0001K,Colher sobremesa rasa,7.00
148,BRC0001K,Colher sopa cheia,15.00
149,BRC0001K,Colher sopa rasa,10.00
150,BRC0002K,Colher café cheia,2.00
151,BRC0002K,Colher chá cheia,4.00
152,BRC0002K,Colher chá rasa,2.00
153,BRC0002K,Colher sobremesa cheia,10.00
154,BRC0002K,Colher sobremesa rasa,7.00
155,BRC0002K,Colher sopa cheia,15.00
156,BRC0002K,Colher sopa rasa,10.00
157,BRC0003K,Colher café cheia,2.00
158,BRC0003K,Colher chá cheia,4.00
159,BRC0003K,Colher chá rasa,2.00
160,BRC0003K,Colher sobremesa cheia,10.00
161,BRC0003K,Colher sobremesa rasa,7.00
162,BRC0003K,Colher sopa cheia,15.00
163,BRC0003K,Colher sopa rasa,10.00
164,BRC0129K,Colher café cheia,2.00
165,BRC0129K,Colher chá cheia,4.00
166,BRC0129K,Colher chá rasa,2.00
167,BRC0129K,Colher sobremesa cheia,10.00
168,BRC0129K,Colher sobremesa rasa,7.00
169,BRC0129K,Colher sopa cheia,15.00
170,BRC0129K,Colher sopa rasa,10.00
171,BRC0101N,Colher sopa rasa,10.00
172,BRC0004K,Colher café cheia,2.00
173,BRC0004K,Colher café rasa,1.00
174,BRC0004K,Colher chá cheia,5.00
175,BRC0004K,Colher chá rasa,3.00
176,BRC0004K,Colher sobremesa cheia,16.00
177,BRC0004K,Colher sobremesa rasa,9.00
178,BRC0004K,Colher sopa cheia,24.00
179,BRC0004K,Colher sopa rasa,15.00
180,BRC0004K,Xícara chá,170.00
181,BRC0005K,Colher café cheia,2.00
182,BRC0005K,Colher café rasa,1.00
183,BRC0005K,Colher chá cheia,5.00
184,BRC0005K,Colher chá rasa,3.00
185,BRC0005K,Colher sobremesa cheia,16.00
186,BRC0005K,Colher sobremesa rasa,9.00
187,BRC0005K,Colher sopa cheia,24.00
188,BRC0005K,Colher sopa rasa,15.00
189,BRC0005K,Copo americano duplo,219.00
190,BRC0005K,Copo americano pequeno,160.00
191,BRC0005K,Xícara chá,170.00
192,BRC0704N,Colher café cheia,2.00
193,BRC0704N,Colher café rasa,1.00
194,BRC0704N,Colher chá cheia,5.00
195,BRC0704N,Colher chá rasa,3.00
196,BRC0704N,Colher sobremesa cheia,16.00
197,BRC0704N,Colher sobremesa rasa,9.00
198,BRC0704N,Colher sopa cheia,24.00
199,BRC0704N,Colher sopa rasa,15.00
200,BRC0704N,Copo americano duplo,219.00
201,BRC0704N,Copo americano pequeno,160.00
202,BRC0704N,Xícara chá,170.00
203,BRC0703N,Colher café cheia,2.00
204,BRC0703N,Colher café rasa,1.00
205,BRC0703N,Colher chá cheia,5.00
206,BRC0703N,Colher chá rasa,3.00
207,BRC0703N,Colher sobremesa cheia,16.00
208,BRC0703N,Colher sobremesa rasa,9.00
209,BRC0703N,Colher sopa cheia,24.00
210,BRC0703N,Colher sopa rasa,15.00
211,BRC0703N,Xícara chá,170.00
212,BRC0006K,Colher café rasa,1.00
213,BRC0006K,Colher chá cheia,4.00
214,BRC0006K,Colher sobremesa rasa,7.00
215,BRC0006K,Colher sopa cheia,19.00
216,BRC0006K,Colher sopa rasa,11.00
217,BRC0006K,Xícara chá,170.00
218,BRC0232K,Colher sopa rasa,15.00
219,BRC0007K,Colher café cheia,2.00
220,BRC0007K,Colher café rasa,1.00
221,BRC0007K,Colher chá cheia,5.00
222,BRC0007K,Colher chá rasa,3.00
223,BRC0007K,Colher sobremesa cheia,16.00
224,BRC0007K,Colher sobremesa rasa,9.00
225,BRC0007K,Colher sopa cheia,24.00
226,BRC0007K,Colher sopa rasa,15.00
227,BRC0007K,Copo americano duplo,219.00
228,BRC0007K,Copo americano pequeno,160.00
229,BRC0007K,Xícara chá,170.00
230,BRC0090N,Colher café cheia,4.00
231,BRC0090N,Colher café rasa,1.00
232,BRC0042N,Colher café cheia,4.00
233,BRC0042N,Colher café rasa,1.00
234,BRC0056N,Colher café cheia,4.00
235,BRC0056N,Colher café rasa,1.00
236,BRC0220B,Colher sopa cheia,25.00
237,BRC0219B,Colher sopa cheia,25.00
238,BRC0914B,Colher sopa cheia,20.00
239,BRC0162B,Colher sopa cheia,25.00
240,BRC0008B,Colher sopa cheia,7.00
241,BRC0175H,Copo americano pequeno,165.00
242,BRC0214B,Colher sopa cheia,25.00
243,BRC0213B,Colher sopa cheia,25.00
244,BRC0065B,Colher sopa cheia,19.00
245,BRC0216B,Colher sopa cheia,25.00
246,BRC0215B,Colher sopa cheia,25.00
247,BRC0915B,Pedaço/ Unidade/ Fatia (M),90.00
248,BRC0460B,Pedaço/ Unidade/ Fatia (M),50.00
249,BRC1117B,Unidade média,90.00
250,BRC0703B,Colher sopa rasa,30.00
251,BRC0824B,Colher café cheia,4.00
252,BRC0824B,Colher café rasa,1.00
253,BRC0063B,Colher sopa cheia,8.00
254,BRC0060B,Colher sopa cheia,8.00
255,BRC0009B,Colher servir rasa,22.00
256,BRC0009B,Colher sopa cheia,8.00
257,BRC0061B,Colher sopa cheia,8.00
258,BRC0062B,Colher sopa cheia,8.00
259,BRC0067B,Colher sopa cheia,6.00
260,BRC0067B,Colher sopa rasa,4.00
261,BRC1061B,Colher sopa rasa,14.00
262,BRC0222K,Porção média,50.00
263,BRC0115B,Colher sopa cheia,24.00
264,BRC0115B,Colher sopa rasa,19.00
265,BRC0010B,Colher sopa cheia,24.00
266,BRC0010B,Colher sopa rasa,19.00
267,BRC1074B,Colher café cheia,4.00
268,BRC1074B,Colher café rasa,1.00
269,BRC0113B,Colher sopa cheia,24.00
270,BRC0113B,Colher sopa rasa,19.00
271,BRC0714B,Colher sopa cheia,30.00
272,BRC0068B,Colher sopa cheia,19.00
273,BRC0068B,Colher sopa rasa,12.00
274,BRC0011B,Colher sopa cheia,6.00
275,BRC0011B,Colher sopa rasa,3.00
276,BRC0105B,Colher servir rasa,30.00
277,BRC0105B,Colher sopa rasa,10.00
278,BRC0149B,Colher sopa cheia,25.00
