id,food_code,component,unity,value
1,BRC0001C,Energia,kJ,312.00
2,BRC0001C,Energia,kcal,76.00
3,BRC0001C,Umidade,g,86.30
4,BRC0001C,Carboidrato total,g,5.84
5,BRC0001C,Carboidrato disponível,g,1.81
6,BRC0001C,Proteína,g,1.15
7,BRC0001C,Lipídios,g,6.21
8,BRC0001C,Fibra alimentar,g,4.03
9,BRC0001C,Álcool,g,0.00
10,BRC0001C,Cinzas,g,0.47
11,BRC0001C,Colesterol,mg,0.00
12,BRC0001C,Ácidos graxos saturados,g,1.70
13,BRC0001C,Ácidos graxos monoinsaturados,g,3.18
14,BRC0001C,Ácidos graxos poliinsaturados,g,1.04
15,BRC0001C,Ácidos graxos trans,g,0.00
16,BRC0001C,Cálcio,mg,7.16
17,BRC0001C,Ferro,mg,0.18
18,BRC0001C,Sódio,mg,0.00
19,BRC0001C,Magnésio,mg,17.00
20,BRC0001C,Fósforo,mg,18.50
21,BRC0001C,Potássio,mg,174.00
22,BRC0001C,Manganês,mg,0.15
23,BRC0001C,Zinco,mg,0.23
24,BRC0001C,Cobre,mg,0.12
25,BRC0001C,Selênio,mcg,0.20
26,BRC0001C,Vitamina A (RE),mcg,6.21
27,BRC0001C,Vitamina A (RAE),mcg,3.11
28,BRC0001C,Vitamina D,mcg,0.00
29,BRC0001C,Alfa-tocoferol (Vitamina E),mg,0.02
30,BRC0001C,Tiamina,mg,0.00
31,BRC0001C,Riboflavina,mg,0.04
32,BRC0001C,Niacina,mg,0.00
33,BRC0001C,Vitamina B6,mg,0.00
34,BRC0001C,Vitamina B12,mcg,0.00
35,BRC0001C,Vitamina C,mg,7.32
36,BRC0001C,Equivalente de folato,mcg,41.50
37,BRC0001C,Sal de adição,g,0.00
38,BRC0001C,Açúcar de adição,g,0.00
39,BRC0001C,Gordura de adição,g,0.00
40,BRC0001C,Proteína vegetal,g,1.15
41,BRC0001C,Proteína animal,g,0.00
42,BRC0195C,Energia,kJ,579.00
43,BRC0195C,Energia,kcal,136.00
44,BRC0195C,Umidade,g,65.30
45,BRC0195C,Carboidrato total,g,33.50
46,BRC0195C,Carboidrato disponível,g,32.60
47,BRC0195C,Proteína,g,0.55
48,BRC0195C,Lipídios,g,0.25
49,BRC0195C,Fibra alimentar,g,0.84
